Código,Nombre,Descripción,Inicio,Fin,Estado,Sigla,Nombre,Tipo,,Tema,Total,Total Hombres,Total Mujeres,Departamento
200708 - 169,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200876,ALIMENTO POR ACTIVOS,2015-11-11,2016-03-10,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,16349,Seguridad Alimentaria y Nutrición (SAN),381 Directos,185 Hombres,196 Mujeres,Nariño
200708 - 170,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200877,ALIMENTOS POR CAPACITACION,2015-11-19,2016-02-17,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,6050,Seguridad Alimentaria y Nutrición (SAN),281 Directos,152 Hombres,129 Mujeres,Nariño
200708 - 171,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200878,ALIMENTO POR ACTIVOS,2015-11-19,2016-03-19,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,7555,Seguridad Alimentaria y Nutrición (SAN),600 Directos,321 Hombres,279 Mujeres,Norte de Santander
200708 - 172,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200879,ALIMENTOS POR EDUCACION,2015-11-26,2016-02-26,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,18851,Seguridad Alimentaria y Nutrición (SAN),499 Directos,269 Hombres,230 Mujeres,Putumayo
200708 - 173,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200880,ALIMENTOS POR EDUCACION,2015-11-26,2016-03-26,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,7933,Seguridad Alimentaria y Nutrición (SAN),210 Directos,92 Hombres,118 Mujeres,Putumayo
200708 - 174,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200881,ALIMENTOS POR EDUCACION,2015-11-26,2016-02-26,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,38344,Seguridad Alimentaria y Nutrición (SAN),1015 Directos,556 Hombres,459 Mujeres,Putumayo
200708 - 175,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200882,ALIMENTOS POR EDUCACION,2015-11-26,2016-02-26,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,105780,Seguridad Alimentaria y Nutrición (SAN),2800 Directos,1349 Hombres,1451 Mujeres,Putumayo
200708 - 176,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200883,ALIMENTOS POR EDUCACION,2015-11-26,2016-02-26,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,41367,Seguridad Alimentaria y Nutrición (SAN),1095 Directos,536 Hombres,559 Mujeres,Putumayo
200708 - 177,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200884,ALIMENTOS POR EDUCACION,2015-11-26,2016-02-26,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,51303,Seguridad Alimentaria y Nutrición (SAN),1358 Directos,644 Hombres,714 Mujeres,Putumayo
200708 - 178,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200885,ALIMENTOS POR EDUCACION,2015-11-26,2016-02-26,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,45939,Seguridad Alimentaria y Nutrición (SAN),1216 Directos,606 Hombres,610 Mujeres,Putumayo
200708 - 179,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200886,ALIMENTOS POR EDUCACION,2015-11-26,2016-02-26,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,16434,Seguridad Alimentaria y Nutrición (SAN),435 Directos,217 Hombres,218 Mujeres,Putumayo
200708 - 180,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200887,ALIMENTOS POR EDUCACION,2015-11-26,2016-02-26,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,23385,Seguridad Alimentaria y Nutrición (SAN),619 Directos,288 Hombres,331 Mujeres,Putumayo
200708 - 181,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200888,ALIMENTOS POR EDUCACION,2015-11-26,2016-02-26,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,55874,Seguridad Alimentaria y Nutrición (SAN),1479 Directos,722 Hombres,757 Mujeres,Putumayo
200708 - 182,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200889,ALIMENTOS POR CAPACITACION,2015-11-05,2016-03-04,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,11054,Seguridad Alimentaria y Nutrición (SAN),399 Directos,180 Hombres,219 Mujeres,Valle del Cauca
200708 - 183,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200890,ALIMENTOS POR CAPACITACION,2015-12-14,2016-04-14,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,11761,Seguridad Alimentaria y Nutrición (SAN),2486 Directos,983 Hombres,1503 Mujeres,Valle del Cauca
200708 - 184,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200891,ALIMENTO POR ACTIVOS,2015-09-08,2016-01-08,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,19351,Seguridad Alimentaria y Nutrición (SAN),700 Directos,340 Hombres,360 Mujeres,Valle del Cauca
200708 - 185,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200892,ALIMENTOS POR CAPACITACION,2015-11-09,2016-02-09,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,264,Seguridad Alimentaria y Nutrición (SAN),8 Directos,4 Hombres,4 Mujeres,Valle del Cauca
200708 - 186,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200893,ALIMENTOS POR CAPACITACION,2015-12-07,2016-03-07,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,378,Seguridad Alimentaria y Nutrición (SAN),10 Directos,7 Hombres,3 Mujeres,Valle del Cauca
200708 - 187,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200894,ALIMENTOS POR CAPACITACION,2015-12-07,2016-04-07,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,73569,Seguridad Alimentaria y Nutrición (SAN),1982 Directos,814 Hombres,1168 Mujeres,Valle del Cauca
200708 - 188,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200895,SOCORRO COMUNIDADES,2015-11-12,2016-04-12,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,25,Seguridad Alimentaria y Nutrición (SAN),1 Directos,,1 Mujeres,Valle del Cauca
200708 - 189,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200896,SOCORRO COMUNIDADES,2015-11-17,2016-03-17,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,13,Seguridad Alimentaria y Nutrición (SAN),1 Directos,,1 Mujeres,Valle del Cauca
200708 - 190,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200897,SOCORRO COMUNIDADES,2015-11-27,2016-03-27,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,164,Seguridad Alimentaria y Nutrición (SAN),4 Directos,2 Hombres,2 Mujeres,Valle del Cauca
200708 - 191,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200898,SOCORRO COMUNIDADES,2015-12-10,2016-04-10,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,453,Seguridad Alimentaria y Nutrición (SAN),18 Directos,3 Hombres,15 Mujeres,Valle del Cauca
200708 - 192,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200899,SOCORRO COMUNIDADES,2015-12-10,2016-05-10,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,9845,Seguridad Alimentaria y Nutrición (SAN),274 Directos,111 Hombres,163 Mujeres,Valle del Cauca
200708 - 193,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200900,ALIMENTO POR ACTIVOS,2015-09-08,2016-01-08,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,11055,Seguridad Alimentaria y Nutrición (SAN),400 Directos,210 Hombres,190 Mujeres,Valle del Cauca
200708 - 194,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200901,ALIMENTOS POR CAPACITACION,2015-12-09,2016-04-09,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,1397,Seguridad Alimentaria y Nutrición (SAN),111 Directos,57 Hombres,54 Mujeres,Valle del Cauca
200708 - 195,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200902,SOCORRO COMUNIDADES,2015-11-17,2016-03-17,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,176,Seguridad Alimentaria y Nutrición (SAN),14 Directos,9 Hombres,5 Mujeres,Valle del Cauca
200708 - 196,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200903,SOCORRO COMUNIDADES,2015-11-17,2016-04-17,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,15159,Seguridad Alimentaria y Nutrición (SAN),688 Directos,360 Hombres,328 Mujeres,Valle del Cauca
200708 - 197,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200904,SOCORRO COMUNIDADES,2015-11-05,2016-03-04,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,22064,Seguridad Alimentaria y Nutrición (SAN),798 Directos,397 Hombres,401 Mujeres,Valle del Cauca
200708 - 198,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200905,ALIMENTOS POR CAPACITACION,2015-11-05,2016-03-04,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,5195,Seguridad Alimentaria y Nutrición (SAN),376 Directos,130 Hombres,246 Mujeres,Valle del Cauca
200708 - 199,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200906,ALIMENTOS POR CAPACITACION,2015-11-17,2016-03-16,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,28296,Seguridad Alimentaria y Nutrición (SAN),1024 Directos,365 Hombres,659 Mujeres,Valle del Cauca
200708 - 200,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200907,ALIMENTOS POR CAPACITACION,2015-11-17,2016-03-16,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,6652,Seguridad Alimentaria y Nutrición (SAN),495 Directos,206 Hombres,289 Mujeres,Valle del Cauca
200708 - 201,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200908,ALIMENTO POR ACTIVOS,2015-11-19,2016-02-19,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,768,Seguridad Alimentaria y Nutrición (SAN),39 Directos,19 Hombres,20 Mujeres,Valle del Cauca
200708 - 202,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200909,ALIMENTO POR ACTIVOS,2015-11-19,2016-03-19,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,19136,Seguridad Alimentaria y Nutrición (SAN),761 Directos,353 Hombres,408 Mujeres,Valle del Cauca
200708 - 203,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200910,ALIMENTO POR ACTIVOS,2015-11-05,2016-03-04,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,22156,Seguridad Alimentaria y Nutrición (SAN),301 Directos,127 Hombres,174 Mujeres,Valle del Cauca
200708 - 204,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200911,SOCORRO COMUNIDADES,2015-11-25,2016-03-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,201,Seguridad Alimentaria y Nutrición (SAN),8 Directos,5 Hombres,3 Mujeres,Valle del Cauca
200708 - 205,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200912,SOCORRO COMUNIDADES,2015-11-25,2016-04-25,En ejecución,PMA,Programa Mundial de Alimentos,Agencia ONU,7326,Seguridad Alimentaria y Nutrición (SAN),292 Directos,136 Hombres,156 Mujeres,Valle del Cauca
200708 - 206,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200913,ALIMENTO POR ACTIVOS,2015-11-05,2016-03-04,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,69,Seguridad Alimentaria y Nutrición (SAN),5 Directos,,5 Mujeres,Valle del Cauca
200708 - 207,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200914,ALIMENTOS POR CAPACITACION,2015-11-05,2016-03-04,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,3861,Seguridad Alimentaria y Nutrición (SAN),280 Directos,129 Hombres,151 Mujeres,Valle del Cauca
COD5AL,"Mejorado el acceso a agua segura de los hombres, mujeres, niños y niñas afectados por el derrame de hidrocarburos en el río Mira. Municipio de Tumaco. Nariño","Agua, saneamiento y promoción de la higiene: mejora del acceso a agua potable, infraestructura de saneamiento y las condiciones de higiene y prácticas",2015-01-10,2016-04-01,En ejecución,ACH - Bogotá,Acción Contra el Hambre - Bogotá,ONG Internacional,246950,"Agua, saneamiento e higiene (WASH)",1980 Directos,,,Nariño
K-COL-2015-4095,"Contribuir a mejorar las condiciones de vida  de la población campesina, indígenas y afro afectada por el conflicto armado colombiano en los Departamentos del Cauca, Costa Pacífica Caucana, Guaviare y Meta.", ,2015-10-01,2017-02-28,En ejecución,,Diakonie Katastrophenhilfe Apoyo en Emergencias,ONG Internacional,750000,"Seguridad Alimentaria y Nutrición (SAN)-Protección-Agua, saneamiento e higiene (WASH)",1720 Directos,,,Guaviare
4620,Humanitarian Assistance to Vulnerable Populations Affected by Floods in the Rural Area of Arauquita,"La estrategia de intervención se centra en la distribución de kits para la seguridad alimentaria de emergencia en base al estándar de la ayuda humanitaria que ofrece la UNGRD, bonos para la recuperación de los medios de vida sostenibles y NFIs, junto con la capacitación de los beneficiarios-as en la promoción de la higiene (eliminación de residuos sólidos, prácticas de higiene saludables) y Reducción del Riesgo de Desastres (RRD). El proyecto está dirigido a 602 familias (2.323 personas) de 19 pequeñas veredas, en los distritos de Reineras y Bayoneros, del municipio de Arauquita, departamento de Arauca, en Colombia. La población mayoritariamente es campesina, y dos comunidades del sector de Bayoneros tienen población indígena.El trabajo de RRD incluye riesgos relacionados con los desastres naturales y los conflictos a través de la construcción participativa de planes de gestión del riesgo por comunidad, trabajando en la mitigación de la erosión a la orilla del río y fortalecimiento de las estructuras participativas comunitarias para hacer frente a las amenazas relacionadas con el conflicto y mejorar el bienestar psicosocial de la comunidad. La FLM implementará una estrategia psicosocial basada en la comunidad con acciones transversales en los talleres de formación e incidencia que garantizará la participación de las mujeres, niños y personas mayores en todos los entrenamientos, y en la definición de los planes de RRD.Se realizará una coordinación desde el EHL con las organizaciones miembros, con Ongs locales socios de la FLM como GARSA-Grupo adventista de Rescate y Socorro para el enfoque de RRD y con la ACA-Asociación Campesina de Arauca, además de las autoridades locales como la Alcaldía de Arauquita, Secretaria Local de Gobierno y la UDGRD.El proyecto se implementará con tres profesionales, un coordinador/a al 50% de su tiempo, un-a profesional agro al 100% y un-a profesional en RRD/ambiental.",2015-10-05,2016-04-04,En ejecución,FLM,Federación Luterana Mundial,ONG Internacional,249998,"Género-Temas Transversales-Seguridad Alimentaria y Nutrición (SAN)-Recuperación Temprana-Agua, saneamiento e higiene (WASH)",2323 Directos,1267 Hombres,1056 Mujeres,Arauca
151,"COLOMBIA, INUNDACIONES DE ARAUCA","Atención humanitaria a 9 comunidades rivereñas de Saravena afectadas por las inundaciones de mayo y junio de 2015 en los sectores de Seguridad alimentaria, Agua y Saneamiento y Gestión del Riesgo con atención pisicosocial.",2015-07-01,2016-06-30,En ejecución,FLM,Federación Luterana Mundial,ONG Internacional,309382,"Temas Transversales-Seguridad Alimentaria y Nutrición (SAN)-Recuperación Temprana-Agua, saneamiento e higiene (WASH)-Género",3994 Directos,1842 Hombres,2152 Mujeres,Arauca
4621,"ASISTENCIA HUMANITARIA PARA LA POBLACIÓN RURAL AFECTADA POR LAS INUNDACIONES EN EL MUNICIPIO DE SARAVENA EN EL DEPARTAMENTO DE ARAUCA, COLOMBIA","Atención humanitaria a 9 comunidades rivereñas de Saravena afectadas por las inundaciones de mayo y junio de 2015 en los sectores de Seguridad alimentaria, Agua y Saneamiento y Gestión del Riesgo con atención pisicosocial.",2015-08-01,2016-05-31,En ejecución,FLM,Federación Luterana Mundial,ONG Internacional,272727,"Género-Temas Transversales-Seguridad Alimentaria y Nutrición (SAN)-Recuperación Temprana-Agua, saneamiento e higiene (WASH)",2999 Directos,1316 Hombres,1683 Mujeres,Arauca
COLC43,Atención de la emergencia por el desabastecimiento de agua a las comunidades indígenas rurales en el municipio de Uribia del departamento de La Guajira,"Realizar la optimización del suministro de agua, a tráves del mejoramiento de las condiciones del pozos artesanales existentes,  instalación de sistema de bombeo solar-fotovoltaico, con sus respectivos tanques para almacenamiento y entrega de dotación para el manejo adecuado del agua. Realizar la rehabilitación del sistema de suministro de agua, a través de las reparaciones a  molinos de viento existente, limpieza al pozo subterráneo, y entrega de dotación para el manejo seguro del agua.  Construcción de pozos profundos, con sus respectivos sistemas de bombeo solar fotovoltaico y entrega de suministros para el almacenamiento y tratamiento adecuado del agua a nivel familiar.",2015-06-25,2016-06-30,En ejecución,Oxfam GB,Oxfam Gran Bretaña,ONG Internacional,395113,"Agua, saneamiento e higiene (WASH)",3520 Directos,,,La Guajira
COLC44,"Reducción de los altos índices de morbilidad y mortalidad de la población vulnerable (niños, niñas con énfasis en menores de 5 años, madres gestantes, madres lactantes, adultos mayores) en el área rural del municipio de Manaure con énfasis en las mujeres y niños y niñas de las escuelas, que son expuestas a los efectos de la sequía y sin servicios de agua.","Se contribuye a mejorar las condiciones  de acceso de agua apta para el consumo humano, en cantidad y calidad, a las escuelas y familias priorizadas por el proyecto a través de la adecuación y/o rehabilitación de sistemas de abastecimiento de agua y entrega de filtros caseros e instalación de desalinizadores para el tratamiento del agua. Se fortalecen la resiliencia y las capacidades de las comunidades, escuelas y gobierno municipal  de Manaure para gestionar, mantener y usar de forma autónoma y sostenible las infraestructuras de los sistemas de abastecimiento de agua, filtros de mantenimiento caseros y tanques de almacenamiento de agua. Las población meta  de las 14 comunidades indígenas y escuelas públicas rurales del municipio de Manaure tienen el conocimiento y las herramientas para aplicar buenas prácticas clave de higiene y saneamiento básico. La población focalizada  (14 comunidades y 10 escuelas) establece mecanismo para la disposición final de los residuos sólidos y buen manejo al interior de los hogares, las y escuelas.",2015-08-05,2016-06-14,En ejecución,Oxfam GB,Oxfam Gran Bretaña,ONG Internacional,409562,"Agua, saneamiento e higiene (WASH)",1027 Directos,,,La Guajira
LM.0268,Contribuir a la protección de los derechos laborales con énfasis en migrantes en proyectos extractivos de gran escala en el departamento del Meta,Contribuir a la protección de los derechos laborales de in migrantes externos e internos en proyectos de los sectores de minas y de petróleos ,2015-04-01,2016-03-31,En ejecución,OIM,Organización Internacional para las Migraciones,Agencia ONU,291604,Protección,160 Directos,,,Meta
RT.1130,Diseño de acciones de respuesta integral planificada a la migración desordenada en zonas de frontera del departamento de La Guajira - Colombia,"Contribuir a que los ciudadanos colombianos retornados de Venezuela reciban respuestas institucionales y comunitarias, integrales, oportunas y relevantes para su protección y atención en zonas de frontera del departamento de La Guajira.",2015-06-01,2016-04-01,En ejecución,OIM,Organización Internacional para las Migraciones,Agencia ONU,50000,Protección,200 Directos,,,La Guajira
CS.0721,Mejoramiento Educativo como Estrategia de Estabilización Comunitaria en Zonas de Frontera - Colombia,"El proyecto tiene como objetivo contribuir a mejorar la cobertura y pertinencia de la educación de niños, adolescentes y jóvenes (NNAJ) en  departamentos y municipios colombianos priorizados por el Ministerio de Relaciones Exteriores (MRE) en el marco del Plan Fronteras para la Prosperidad (PFP) y la estrategia ?Más y mejores espacios escolares",2015-08-21,2016-12-31,En ejecución,OIM,Organización Internacional para las Migraciones,Agencia ONU,3218242,Recuperación Temprana-Educación en Emergencia (EeE),2940 Directos,,,Amazonas-Arauca-Boyacá-Chocó-Guainía-Nariño-Norte de Santander-Putumayo-Vaupés-Vichada
RT.1139,Apoyo al Plan de Retorno Positivo del Ministerio de Relaciones ,"Contribuir a generar mecanismos adecuados de orientación a  colombianos que regresan al país en situación de vulnerabilidad en materia de alternativas de inserción social, laboral, productiva y atención inmediata en el momento de retornar a Colombia",2015-08-20,2016-04-20,En ejecución,OIM,Organización Internacional para las Migraciones,Agencia ONU,120768,Recuperación Temprana,220 Directos,,,Atlántico
1.41818E+11,Fortalecimiento Estructural de la Asistencia e Integración de población Víctima en el Departamento del Caquetá. FORTES,"Ha mejorado el aprovechamiento de las ofertas estatales y no estatales de asistencia e integración para desplazados internos en el departamento de Caquetá. El proyecto fomenta la mejora del asesoramiento y la asistencia a desplazados internos, así como la integración socioeconómica de éstos en el departamento de Caquetá, tanto a nivel de municipios como en la coordinación con el nivel nacional.",2014-08-01,2017-03-31,En ejecución,GIZ,Deutsche Gesellschaft für Internationale Zusammenarbeit,ONG Internacional,2775000,Temas Transversales,1330 Directos,,,Caquetá
DK-Temp-01-2015,Schaffung und Wiederherstellung von sicheren und menschenwürdigen Lebensbedingungen für die vom bewaffneten Konflikt betroffene Bevölkerung im Department Caquetá,Establecer condiciones de vida seguras y humanas por la populación afectada por el conflicto armado en el depatamento Caquetá,2015-08-01,2017-07-31,En ejecución,,Diakonie Katastrophenhilfe Apoyo en Emergencias,ONG Internacional,845563,Temas Transversales,,,,Caquetá
DCV 226-000/2014,"Fomento a la resiliencia y mejora de la situación alimenticia de minorías étnicas afectados por el conflicto armado en la Sierra Nevada de Santa Marta, Colombia.","Fomento a la seguridad alimentaria de 8 comunidades de minorías étnicas afectados por el conflicto armado en la Sierra Nevada de Santa Marta y aumento de su resiliencia frente riesgos climáticos, especialmente en términos del abastecimiento con alimentos.",2014-11-01,2017-10-31,En ejecución,Caritas Alemania,Caritas Alemania,Agencia Cooperación,888019,Seguridad Alimentaria y Nutrición (SAN)-Alojamiento y ayuda no alimentaria,2060 Directos,,,Magdalena-La Guajira
DCV-Temp-02-2015,"Ayuda Humanitaria, protección y resiliencia para la población afectada por el conflicto en el Suroccidente de Colombia.","Ayuda Humanitaria, protección y fortalecimiento de la resiliencia a población afectada por el conflicto en los departamentos de Cauca y Nariño. ",2015-07-01,2016-12-31,En ejecución,Caritas Alemania,Caritas Alemania,Agencia Cooperación,1135530,"Agua, saneamiento e higiene (WASH)-Alojamiento y ayuda no alimentaria-Protección-Seguridad Alimentaria y Nutrición (SAN)",6045 Directos,,,Cauca-Nariño
7F- 07856.02,Integración de los enfoque de Acción sin Daño y Justicia Transicional en el proceso de Restitución de Tierras,Integrar reflexiones y herramientas de los enfoques de Acción sin Daño y Justicia Transicional Civil con el fin de reducir efectos negativos e impactar de manera positiva y transformadora los contextos en que se desarrolla la restitución de tierras.,2014-05-01,2016-05-01,En ejecución,COSUDE,Agencia Suiza para el Desarrollo y la Cooperación,Agencia Cooperación,2600000,Protección,890 Directos,,,Antioquia
7F-09231.01.01,Proyecto ASIR (Agua y Saneamiento Integral en áreas rurales) Colombia.,Restablecimiento: mejora de las condiciones de vida y promoción del desarrollo local en comunidades rurales afectadas por el desplazamiento forzado. Abogacía para la formulación e implementación de modelos de gestión del agua y el saneamiento con enfoque territorial,2014-12-01,2017-01-01,En ejecución,COSUDE,Agencia Suiza para el Desarrollo y la Cooperación,Agencia Cooperación,2212393,"Seguridad Alimentaria y Nutrición (SAN)-Agua, saneamiento e higiene (WASH)",74000 Directos,,,Valle del Cauca-Cauca
7F-COSUDE.2015,"Mejoramiento de las condiciones de vida y la resiliencia de comunidades indígenas y afrodescendientes del municipio de Riosucio (Bajo Atrato, Choco), a través de soluciones de acceso a agua y saneamiento adaptadas a su cultura, con un enfoque de reconocimiento de inequidades y promoción del empoderamiento de las mujeres. ","Esta propuesta contribuye al mejoramiento de las condiciones actuales de acceso a agua y sanea-miento de la siguiente manera: - 10 comunidades indígenas nuevas mediante:o sistemas de abastecimiento de agua, o baterías sanitarias  (1/escuela/comunidad) y o fortalecimiento de los comités de agua, con un fuerte componente de mitigación de riesgos y trabajo de enfoque de género buscando visibilizar los roles de las mujeres y los hombres y promoviendo la participación de las mujeres en los procesos de decisión del proyecto que favorezcan un mayor empoderamiento de las mujeres.- 10 comunidades negras y 5 indígenas (intervenidas en el proyecto pasado), con el apoyo y fortalecimiento de los comités de agua, mitigación de riesgos, baterías sanitarias (de 4 letri-nas cada una, 1 batería sanitaria/escuela/comunidad)   y trabajo sobre enfoque de género y liderazgo transformador de las mujeres.Se busca que  tengan mayor capacidad de adaptabilidad a la variabilidad climática y a las condicio-nes de zona inundable del área, promoviendo la sostenibilidad de las acciones. ",2015-08-20,2017-02-17,En ejecución,Oxfam GB,Oxfam Gran Bretaña,ONG Internacional,370827,"Agua, saneamiento e higiene (WASH)",47502 Directos,,,Chocó
MdM-Canada-01-15,"Acceso a servicios de salud primaria, agua segura y a la protección  para las poblaciones rurales indígenas y campesinas afectadas por el conflicto armado en 6 municipalidades de Meta.","* servicios Móviles de salud Primaria y Apoyo psicosocial.*Implementación de Servicios de prevención, control y tratamiento de la desnutrición aguda de los niños/as, gestantes y lactantes y de la población indígena.*Acceso a agua segura.*Acceso a los servicios de salud y legal para las víctimas del conflicto armado",2015-04-01,2016-03-01,Finalizado,,Médicos del Mundo- Francia,ONG Internacional,610590,"Seguridad Alimentaria y Nutrición (SAN)-Salud-Agua, saneamiento e higiene (WASH)",11000 Directos,,,Meta
ECHO/Prov/HAI/2015/01,"Ensuring the appropriate inclusion of older aged IDPs and host community members affected by internal conflict through emergency assistance, protection and early recovery.","Ensuring the appropriate inclusion of older aged IDPs and host community members affected by internal conflict through emergency assistance, protection and early recovery.",2015-08-01,2016-07-01,En ejecución,HelpAge,HelpAge International,ONG Internacional,505043,"Agua, saneamiento e higiene (WASH)-Protección-Salud-Seguridad Alimentaria y Nutrición (SAN)",4369 Directos,,,Caquetá-Nariño-Valle del Cauca
ECHO/Prov/SI/2015/01,Humanitarian assistance for doubly-affected communities (by conflict and natural disasters) in theDepartments of Nariño and Valle del Cauca (Colombia),Humanitarian assistance for doubly-affected communities (by conflict and natural disasters) in theDepartments of Nariño and Valle del Cauca (Colombia),2015-08-01,2016-08-01,En ejecución,APS - Bogotá,Alianza por la Solidaridad - Bogotá,ONG Internacional,519859,"Salud Mental y Apoyo Psicosocial-Temas Transversales-Seguridad Alimentaria y Nutrición (SAN)-Protección-Agua, saneamiento e higiene (WASH)",2652 Directos,1272 Hombres,1380 Mujeres,Nariño-Valle del Cauca
COA1AL,"Promote a comprehensive and coordinated response that addresses the protection and humanitarian attention gaps of women, men and children directly affected by the internal armed conflict in the Putumayo Province, Colombia",,2015-08-01,2016-07-31,En ejecución,ACH - Bogotá,Acción Contra el Hambre - Bogotá,ONG Internacional,454545,"Seguridad Alimentaria y Nutrición (SAN)-Alojamiento y ayuda no alimentaria-Agua, saneamiento e higiene (WASH)",6730 Directos,,,Putumayo
7F-08497.02,"Prevención y protección de niños/as, adolescentes y Jovenes (NNAJ) frente al reclutamiento, vinculación y utilización por parte de actores armados, y fortalecimiento de capacidades y medios de vida en comunidades del municipio de Tierralta (Córdoba) y Buenaventura (Valle del Cauca)","Protección de NNAJ afectados por el conflicto armado y/o en alto riesgo de reclutamiento forzado en 5 comunidades de Tierralta, Córdoba y 11 comunidades de Buenaventura, Valle del Cauca. Mejoramiento de las condiciones de vida en estas comunidades través de la recuperación de medios de vida (agua segura, seguridad alimentaria, saneamiento básico).",2014-12-01,2016-11-30,En ejecución,,Diakonie Katastrophenhilfe Apoyo en Emergencias,ONG Internacional,800000,"Seguridad Alimentaria y Nutrición (SAN)-Recuperación Temprana-Protección-Agua, saneamiento e higiene (WASH)",6413 Directos,3079 Hombres,334 Mujeres,Córdoba-Valle del Cauca
